article,full_category,main_category,sub_category,sub_sub_category,detailed_category
Áedán_mac_Gabráin,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain,subject,History,British_History,British_History_1500_and_before_including_Roman_Britain
Áedán_mac_Gabráin,subject.People.Historical_figures,subject,People,Historical_figures,
Åland,subject.Countries,subject,Countries,,
Åland,subject.Geography.European_Geography.European_Countries,subject,Geography,European_Geography,European_Countries
Édouard_Manet,subject.People.Artists,subject,People,Artists,
Éire,subject.Countries,subject,Countries,,
Éire,subject.Geography.European_Geography.European_Countries,subject,Geography,European_Geography,European_Countries
Óengus_I_of_the_Picts,subject.History.British_History.British_History_1500_and_before_including_Roman_Britain,subject,History,British_History,British_History_1500_and_before_including_Roman_Britain
Óengus_I_of_the_Picts,subject.People.Historical_figures,subject,People,Historical_figures,
€2_commemorative_coins,subject.Business_Studies.Currency,subject,Business_Studies,Currency,
